,Vin Ideal,Vin Medido,Erro Vin,Vout Ideal,Vout Medido,Erro Vout,Vload,Resultado Teste
0,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
1,5.0,4.6041,0.39590000000000014,3.3,3.4218,-0.12180000000000035,3.4218,FAIL
2,5.0,4.6092,0.3907999999999996,3.3,3.4179,-0.11790000000000012,3.4256,FAIL
3,5.0,4.5795,0.42049999999999965,3.3,3.4179,-0.11790000000000012,3.4256,FAIL
4,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4218,FAIL
5,5.0,4.6092,0.3907999999999996,3.3,3.4218,-0.12180000000000035,3.4218,FAIL
6,5.0,4.5846,0.4154,3.3,3.4179,-0.11790000000000012,3.4256,FAIL
7,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
8,5.0,4.5944,0.40559999999999974,3.3,3.4218,-0.12180000000000035,3.4218,FAIL
9,5.0,4.6092,0.3907999999999996,3.3,3.4218,-0.12180000000000035,3.4218,FAIL
10,5.0,4.5895,0.41049999999999986,3.3,3.4179,-0.11790000000000012,3.4256,FAIL
11,5.0,4.5944,0.40559999999999974,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
12,5.0,4.619,0.3810000000000002,3.3,3.4218,-0.12180000000000035,3.4218,FAIL
13,5.0,4.6092,0.3907999999999996,3.3,3.4179,-0.11790000000000012,3.4256,FAIL
14,5.0,4.5895,0.41049999999999986,3.3,3.4179,-0.11790000000000012,3.4256,FAIL
15,5.0,4.5846,0.4154,3.3,3.4218,-0.12180000000000035,3.4218,FAIL
16,5.0,4.6041,0.39590000000000014,3.3,3.4218,-0.12180000000000035,3.4218,FAIL
17,5.0,4.5944,0.40559999999999974,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
18,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
19,5.0,4.5944,0.40559999999999974,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
20,5.0,4.5944,0.40559999999999974,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
21,5.0,4.5944,0.40559999999999974,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
22,5.0,4.5944,0.40559999999999974,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
23,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
24,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4294,FAIL
25,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4294,FAIL
26,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
27,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
28,5.0,4.5846,0.4154,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
29,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
30,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4218,FAIL
31,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
32,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
33,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
34,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
35,5.0,4.5846,0.4154,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
36,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
37,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
38,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
39,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
40,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
41,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4294,FAIL
42,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
43,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4294,FAIL
44,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
45,5.0,4.5944,0.40559999999999974,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
46,5.0,4.5846,0.4154,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
47,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
48,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
49,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
50,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
51,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
52,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
53,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
54,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
55,5.0,4.5944,0.40559999999999974,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
56,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
57,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
58,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
59,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
60,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
61,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
62,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
63,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
64,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
65,5.0,4.5846,0.4154,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
66,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
67,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
68,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
69,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
70,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
71,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
72,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
73,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4294,FAIL
74,5.0,4.5846,0.4154,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
75,5.0,4.5846,0.4154,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
76,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
77,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
78,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
79,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
80,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
81,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
82,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
83,5.0,4.5746,0.4253999999999998,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
84,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
85,5.0,4.5846,0.4154,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
86,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
87,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
88,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
89,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
90,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
91,5.0,4.5846,0.4154,3.3,3.4218,-0.12180000000000035,3.4294,FAIL
92,5.0,4.5846,0.4154,3.3,3.4218,-0.12180000000000035,3.4294,FAIL
93,5.0,4.5944,0.40559999999999974,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
94,5.0,4.5795,0.42049999999999965,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
95,5.0,4.5846,0.4154,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
96,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
97,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
98,5.0,4.5895,0.41049999999999986,3.3,3.4218,-0.12180000000000035,3.4256,FAIL
